id,fired
12,1
35,1
52,1
68,1
79,1
105,1
144,1
173,1
174,1
181,1
195,1
201,1
231,1
237,1
262,1
298,1
310,1
344,1
356,1
392,1
406,1
449,1
452,1
454,1
474,1
480,1
503,1
518,1
519,1
536,1
546,1
567,1
569,1
570,1
578,1
593,1
605,1
624,1
630,1
668,1
684,1
688,1
741,1
759,1
774,1
777,1
778,1
786,1
833,1
835,1
836,1
837,1
839,1
841,1
851,1
863,1
873,1
892,1
904,1
911,1
921,1
963,1
964,1
967,1
968,1
989,1
996,1
1000,1
1005,1
1034,1
1042,1
1084,1
1087,1
1088,1
1098,1
1099,1
1103,1
1108,1
1110,1
1125,1
1139,1
1159,1
1168,1
1208,1
1212,1
1221,1
1232,1
1240,1
1252,1
1256,1
