직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
637,2012-06-15,2013-10-06,1,15,478
638,2012-06-15,//,7,85,2602
639,2012-06-15,//,7,85,2602
640,2012-06-15,2016-03-20,3,45,1374
641,2012-06-18,//,7,85,2599
642,2012-06-18,2012-09-18,0,3,92
643,2012-06-18,2013-08-11,1,13,419
644,2012-06-18,2014-12-12,2,29,907
645,2012-06-18,2012-07-03,0,0,15
646,2012-06-19,//,7,85,2598
647,2012-06-23,2015-09-30,3,39,1194
648,2012-06-25,2012-08-22,0,1,58
649,2012-06-25,//,7,85,2592
650,2012-06-25,2013-10-31,1,16,493
651,2012-06-27,2017-07-14,5,60,1843
652,2012-06-28,//,7,85,2589
653,2012-06-28,2016-12-31,4,54,1647
654,2012-07-02,2016-05-15,3,46,1413
655,2012-07-02,2012-07-06,0,0,4
656,2012-07-02,2012-10-24,0,3,114
657,2012-07-09,2016-03-15,3,44,1345
658,2012-07-09,2015-11-30,3,40,1239
659,2012-07-09,2012-09-13,0,2,66
660,2012-07-16,//,7,84,2571
661,2012-07-16,//,7,84,2571
662,2012-07-16,2014-11-05,2,27,842
663,2012-07-18,2012-08-24,0,1,37
664,2012-07-18,2012-08-25,0,1,38
665,2012-07-18,2016-07-20,4,48,1463
666,2012-07-18,2012-09-24,0,2,68
667,2012-07-23,2017-06-30,4,59,1803
668,2012-07-24,2016-04-30,3,45,1376
669,2012-07-24,//,7,84,2563
670,2012-07-25,2012-08-07,0,0,13
671,2012-07-25,2012-08-07,0,0,13
672,2012-07-25,2012-12-21,0,4,149
673,2012-07-25,2012-09-28,0,2,65
674,2012-07-25,2012-09-28,0,2,65
675,2012-07-25,2012-10-16,0,2,83
676,2012-07-25,2012-09-28,0,2,65
677,2012-08-01,//,7,83,2555
678,2012-08-02,//,7,83,2554
679,2012-08-06,//,7,83,2550
680,2012-08-06,2018-07-31,5,71,2185
681,2012-08-06,//,7,83,2550
682,2012-08-06,2015-12-31,3,40,1242
683,2012-08-13,2015-05-31,2,33,1021
684,2012-08-14,2016-04-30,3,44,1355
685,2012-08-16,2013-10-04,1,13,414
686,2012-08-16,//,7,83,2540
687,2012-08-20,2015-04-10,2,31,963
688,2012-08-20,2016-07-31,3,47,1441
689,2012-08-20,2015-06-19,2,33,1033
690,2012-08-20,//,7,83,2536
691,2012-08-20,//,7,83,2536
692,2012-08-22,2012-08-24,0,0,2
693,2012-08-22,2012-08-26,0,0,4
694,2012-08-22,2012-08-26,0,0,4
695,2012-08-22,2012-08-26,0,0,4
696,2012-08-22,2012-08-26,0,0,4
697,2012-08-27,2013-12-31,1,16,491
698,2012-08-27,2014-09-05,2,24,739
699,2012-08-31,2012-09-12,0,0,12
700,2012-09-03,2016-02-29,3,41,1274
701,2012-09-03,2014-02-24,1,17,539
702,2012-09-03,//,7,82,2522
703,2012-09-06,2012-09-27,0,0,21
704,2012-09-06,2012-09-25,0,0,19
705,2012-09-06,2012-09-28,0,0,22
706,2012-09-06,2012-09-27,0,0,21
707,2012-09-06,2012-09-24,0,0,18
708,2012-09-06,2012-09-24,0,0,18
709,2012-09-06,2012-12-05,0,2,90
710,2012-09-06,2012-09-24,0,0,18
711,2012-09-10,//,7,82,2515
712,2012-09-10,2013-07-14,0,10,307
713,2012-09-07,2012-09-27,0,0,20
714,2012-09-12,2014-12-26,2,27,835
715,2012-09-17,2013-03-16,0,5,180
716,2012-09-17,2012-12-12,0,2,86
717,2012-09-17,//,7,82,2508
718,2012-09-24,//,7,82,2501
719,2012-09-24,2016-01-17,3,39,1210
720,2012-09-24,2012-12-23,0,2,90
721,2012-09-24,//,7,82,2501
722,2012-09-25,2013-06-20,0,8,268
723,2012-10-02,2013-10-06,1,12,369
724,2012-10-05,2015-08-09,2,34,1038
725,2012-10-29,2012-10-30,0,0,1
726,2012-10-15,2015-01-31,2,27,838
727,2012-10-15,2013-06-09,0,7,237
728,2012-10-17,2012-12-29,0,2,73
729,2012-10-17,//,7,81,2478
730,2012-10-17,2012-12-31,0,2,75
731,2012-10-17,2012-12-31,0,2,75
732,2012-10-22,2015-04-30,2,30,920
733,2012-10-22,//,7,81,2473
734,2012-11-05,2013-04-16,0,5,162
735,2012-11-05,//,7,80,2459
736,2012-11-07,2012-11-13,0,0,6
737,2012-11-12,2016-01-20,3,38,1164
738,2012-11-19,//,7,80,2445
739,2012-11-19,//,7,80,2445
740,2012-11-21,2013-09-06,0,9,289
741,2012-11-26,2016-04-30,3,41,1251
742,2012-11-26,//,7,80,2438
743,2012-11-26,2013-11-25,0,11,364
744,2012-11-26,2015-08-31,2,33,1008
745,2012-11-26,2019-07-31,6,80,2438
746,2012-11-28,//,7,80,2436
747,2012-11-29,//,7,80,2435
748,2012-12-03,//,7,79,2431
749,2012-12-03,2014-04-16,1,16,499
750,2012-12-06,//,7,79,2428
751,2012-12-10,2017-03-30,4,51,1571
752,2012-12-10,//,7,79,2424
753,2012-12-17,//,7,79,2417
754,2012-12-17,2016-03-31,3,39,1200
755,2012-12-20,2015-01-12,2,24,753
756,2013-01-02,2015-12-31,2,35,1093
757,2013-01-02,//,6,78,2401
758,2013-01-07,2015-05-31,2,28,874
759,2013-01-07,2016-04-30,3,39,1209
760,2013-01-14,//,6,78,2389
761,2013-01-21,//,6,78,2382
762,2013-01-21,//,6,78,2382
763,2013-01-21,2015-06-21,2,29,881
764,2013-01-21,2015-03-13,2,25,781
765,2013-01-21,2015-11-30,2,34,1043
766,2013-01-21,2016-01-06,2,35,1080
767,2013-01-21,2015-02-06,2,24,746
768,2013-01-21,//,6,78,2382
769,2013-01-21,//,6,78,2382
770,2013-01-21,2013-10-04,0,8,256
771,2013-01-21,2014-09-12,1,19,599
772,2013-01-21,2013-05-31,0,4,130
773,2013-01-21,2014-04-30,1,15,464
774,2013-01-21,2016-04-15,3,38,1180
775,2013-01-21,2014-01-31,1,12,375
776,2013-01-21,2014-02-07,1,12,382
777,2013-01-21,2016-07-31,3,42,1287
778,2013-01-21,2016-04-30,3,39,1195
779,2013-01-21,//,6,78,2382
780,2013-02-04,2013-02-20,0,0,16
781,2013-02-07,2015-02-06,1,23,729
782,2013-02-13,//,6,77,2359
783,2013-02-13,2017-02-12,3,47,1460
784,2013-02-13,2013-03-21,0,1,36
785,2013-02-13,//,6,77,2359
786,2013-02-14,2016-04-30,3,38,1171
787,2013-02-25,//,6,77,2347
788,2013-03-04,//,6,76,2340
789,2013-03-04,2015-11-13,2,32,984
790,2013-03-11,2015-11-30,2,32,994
791,2013-03-12,//,6,76,2332
792,2013-03-25,2014-12-31,1,21,646
793,2013-03-25,2013-10-31,0,7,220
794,2013-03-26,2015-12-31,2,33,1010
795,2013-04-01,//,6,75,2312
796,2013-04-01,2018-04-30,5,60,1855
797,2013-03-29,2017-04-01,4,48,1464
798,2013-04-15,2014-01-26,0,9,286
799,2013-04-22,//,6,75,2291
800,2013-04-22,//,6,75,2291
801,2013-04-22,2015-07-10,2,26,809
802,2013-04-22,//,6,75,2291
803,2013-04-22,//,6,75,2291
804,2013-04-25,2014-12-31,1,20,615
805,2013-04-29,//,6,75,2284
806,2013-05-06,//,6,74,2277
807,2013-05-08,2014-05-09,1,12,366
808,2013-05-09,2015-10-30,2,29,904
809,2013-05-13,2014-05-14,1,12,366
810,2013-05-13,2016-12-20,3,43,1317
811,2013-05-13,//,6,74,2270
812,2013-05-13,2015-12-24,2,31,955
813,2013-05-13,2015-02-06,1,20,634
814,2013-05-13,2013-05-21,0,0,8
815,2013-05-13,2015-10-16,2,29,886
816,2013-05-13,2018-04-13,4,59,1796
817,2013-05-13,2015-02-28,1,21,656
818,2013-05-13,2016-05-10,2,35,1093
819,2013-05-13,2013-05-30,0,0,17
820,2013-05-13,2013-05-22,0,0,9
821,2013-05-13,2015-12-31,2,31,962
822,2013-05-13,2016-06-30,3,37,1144
823,2013-05-13,2015-11-30,2,30,931
824,2013-05-13,2014-03-13,0,10,304
825,2013-05-15,2013-07-15,0,2,61
826,2013-05-15,2013-07-11,0,1,57
827,2013-05-15,2013-07-11,0,1,57
828,2013-05-15,2013-07-10,0,1,56
829,2013-05-15,2013-07-10,0,1,56
830,2013-05-15,2013-07-04,0,1,50
831,2013-05-15,2013-07-10,0,1,56
832,2013-05-20,2017-09-30,4,52,1594
833,2013-05-20,2016-04-30,2,35,1076
834,2013-05-20,2017-05-31,4,48,1472
835,2013-05-20,2016-04-30,2,35,1076
836,2013-05-20,2016-04-30,2,35,1076
837,2013-05-20,2016-07-31,3,38,1168
838,2013-05-20,2019-03-04,5,69,2114
839,2013-05-20,2016-07-31,3,38,1168
840,2013-05-20,2013-05-27,0,0,7
841,2013-05-20,2016-04-30,2,35,1076
842,2013-05-20,2014-04-11,0,10,326
843,2013-05-23,2013-07-22,0,1,60
844,2013-05-27,2015-11-30,2,30,917
845,2013-05-27,//,6,74,2256
846,2013-06-03,2015-12-24,2,30,934
847,2013-06-03,2013-08-08,0,2,66
848,2013-06-03,2015-02-28,1,20,635
849,2013-06-03,2015-02-24,1,20,631
850,2013-06-03,2013-10-25,0,4,144
851,2013-06-10,2016-04-30,2,34,1055
852,2013-06-10,2013-09-09,0,2,91
853,2013-06-10,//,6,73,2242
854,2013-06-10,2013-07-13,0,1,33
855,2013-06-11,2013-08-10,0,1,60
856,2013-06-11,2013-08-10,0,1,60
857,2013-06-12,2013-07-13,0,1,31
858,2013-06-17,2014-06-30,1,12,378
859,2013-06-17,2018-06-29,5,60,1838
860,2013-06-17,//,6,73,2235
861,2013-06-17,//,6,73,2235
862,2013-06-17,2014-07-10,1,12,388
863,2009-10-26,2016-07-31,6,81,2470
864,2013-07-03,2016-05-20,2,34,1052
865,2013-07-03,2016-02-20,2,31,962
866,2013-07-03,2015-06-22,1,23,719
867,2013-07-08,2019-04-20,5,69,2112
868,2013-07-08,2014-11-07,1,15,487
869,2013-07-08,2015-08-18,2,25,771
870,2013-07-08,2015-01-30,1,18,571
871,2013-07-10,2015-05-15,1,22,674
872,2013-07-15,2015-05-31,1,22,685
873,2013-07-16,2016-04-30,2,33,1019
874,2013-07-16,2014-04-04,0,8,262
875,2013-07-16,//,6,72,2206
876,2013-08-05,2015-10-15,2,26,801
877,2013-08-05,2014-01-09,0,5,157
878,2013-08-05,2016-02-29,2,30,938
879,2013-08-12,2013-11-11,0,2,91
880,2013-08-19,2013-09-13,0,0,25
881,2013-08-19,2016-01-31,2,29,895
882,2013-09-23,2014-04-15,0,6,204
883,2013-09-23,2014-10-31,1,13,403
884,2013-09-23,2015-07-10,1,21,655
885,2013-09-23,2019-07-14,5,69,2120
886,2013-09-24,2019-02-28,5,65,1983
887,2013-10-01,2015-05-31,1,19,607
888,2013-10-01,//,6,69,2129
889,2013-10-07,2015-01-30,1,15,480
890,2013-10-14,2015-02-28,1,16,502
891,2013-10-14,2014-02-04,0,3,113
892,2013-10-14,2016-04-30,2,30,929
893,2013-10-21,2013-11-05,0,0,15
894,2013-10-21,2017-02-28,3,40,1226
895,2013-10-21,//,6,69,2109
896,2013-10-21,//,6,69,2109
897,2013-10-21,2016-06-30,2,32,983
898,2013-10-21,2014-05-20,0,6,211
899,2013-10-21,2014-02-03,0,3,105
900,2013-10-28,2016-02-12,2,27,837
901,2013-10-28,2014-01-20,0,2,84
902,2013-11-04,//,6,68,2095
903,2013-11-04,//,6,68,2095
904,2013-11-04,2016-07-31,2,32,1000
905,2013-11-18,//,6,68,2081
906,2013-12-01,//,6,67,2068
907,2013-12-02,//,6,67,2067
908,2013-12-02,2016-03-02,2,27,821
909,2013-12-02,2015-05-20,1,17,534
910,2013-12-02,2014-03-18,0,3,106
911,2013-12-09,2016-04-30,2,28,873
912,2013-12-10,//,6,67,2059
913,2013-12-10,2015-06-26,1,18,563
914,2013-12-16,2014-04-20,0,4,125
915,2013-12-18,//,6,67,2051
916,2013-12-23,2014-12-31,1,12,373
917,2013-12-23,2014-02-28,0,2,67
918,2013-12-26,2013-12-30,0,0,4
919,2013-12-26,2014-05-16,0,4,141
920,2013-12-30,2016-02-12,2,25,774
921,2014-01-02,2016-07-31,2,30,941
922,2014-01-06,//,5,66,2032
923,2014-01-06,//,5,66,2032
924,2014-01-13,2015-12-31,1,23,717
925,2014-01-13,2014-09-19,0,8,249
926,2014-01-15,2014-03-07,0,1,51
927,2014-01-16,2014-03-15,0,1,58
928,2014-01-16,2014-02-10,0,0,25
929,2014-01-16,2014-03-15,0,1,58
930,2014-01-16,2014-03-15,0,1,58
931,2014-01-16,2014-01-24,0,0,8
932,2014-01-16,2014-02-14,0,0,29
933,2014-01-16,2019-03-21,5,62,1890
934,2014-01-16,2014-02-14,0,0,29
935,2014-01-16,2014-03-07,0,1,50
936,2014-01-20,2018-04-30,4,51,1561
937,2014-01-27,2019-01-27,5,60,1826
938,2014-01-28,2014-03-20,0,1,51
939,2014-01-28,2014-03-20,0,1,51
940,2014-02-03,2014-05-31,0,3,117
941,2014-02-03,//,5,65,2004
942,2014-02-05,2014-03-24,0,1,47
943,2014-02-10,//,5,65,1997
944,2014-02-12,2019-05-13,5,63,1916
945,2014-02-17,2014-09-27,0,7,222
946,2014-02-17,2015-12-31,1,22,682
947,2014-02-17,2014-02-20,0,0,3
948,2014-02-20,2018-01-15,3,46,1425
949,2014-02-24,//,5,65,1983
950,2014-02-24,2015-12-31,1,22,675
951,2014-02-24,//,5,65,1983
952,2014-02-24,2015-09-30,1,19,583
953,2014-02-26,2014-03-26,0,1,28
954,2014-02-26,//,5,65,1981
955,2014-02-26,2015-02-26,1,12,365
956,2014-03-03,2015-03-30,1,12,392
957,2014-03-03,2015-07-17,1,16,501
958,2014-03-03,//,5,64,1976
959,2014-03-10,//,5,64,1969
960,2014-03-10,//,5,64,1969
961,2014-03-10,//,5,64,1969
962,2014-03-10,//,5,64,1969
963,2014-03-10,2016-04-15,2,25,767
964,2014-03-17,2016-04-30,2,25,775
965,2014-03-17,2016-08-31,2,29,898
966,2014-03-17,2017-06-16,3,38,1187
967,2014-03-17,2016-04-30,2,25,775
968,2014-03-17,2016-04-30,2,25,775
969,2014-03-17,2015-04-28,1,13,407
970,2014-03-17,2015-07-10,1,15,480
971,2014-03-19,2014-06-13,0,2,86
972,2014-03-24,2015-05-31,1,14,433
973,2014-03-24,2014-03-25,0,0,1
974,2014-03-25,2019-03-08,4,59,1809
975,2014-03-25,//,5,64,1954
976,2014-03-25,2015-07-10,1,15,472
977,2014-03-26,2014-07-21,0,3,117
978,2014-03-26,2014-07-02,0,3,98
979,2014-03-26,2017-06-16,3,38,1178
980,2014-03-26,2016-07-22,2,27,849
981,2014-03-27,//,5,64,1952
982,2014-03-27,2014-04-24,0,0,28
983,2014-03-27,2015-09-30,1,18,552
984,2014-03-27,2014-10-10,0,6,197
985,2014-04-01,//,5,63,1947
986,2014-04-01,2016-02-22,1,22,692
987,2014-04-01,2016-09-29,2,29,912
988,2014-04-07,2014-12-31,0,8,268
989,2014-04-07,2016-04-30,2,24,754
990,2014-04-14,2016-05-30,2,25,777
991,2014-04-14,//,5,63,1934
992,2014-04-14,2017-02-28,2,34,1051
993,2014-04-14,2016-03-31,1,23,717
994,2014-04-14,2015-04-30,1,12,381
995,2014-04-16,//,5,63,1932
996,2014-04-21,2016-04-30,2,24,740
997,2014-04-21,2017-11-07,3,42,1296
998,2014-04-28,//,5,63,1920
999,2014-04-28,2014-08-29,0,4,123
1000,2014-04-28,2016-07-31,2,27,825
1001,2014-05-07,2014-10-31,0,5,177
1002,2014-05-07,2014-11-03,0,5,180
1003,2014-05-12,2014-10-07,0,4,148
1004,2014-05-12,//,5,62,1906
1005,2014-05-19,2016-04-30,1,23,712
1006,2014-05-19,2015-08-15,1,14,453
1007,2014-05-26,2015-06-12,1,12,382
1008,2014-05-26,2016-01-04,1,19,588
1009,2014-05-26,//,5,62,1892
1010,2014-05-26,2019-04-12,4,58,1782
1011,2014-06-02,2015-06-12,1,12,375
1012,2014-06-02,2015-01-09,0,7,221
1013,2014-06-02,2015-02-17,0,8,260
1014,2014-06-02,//,5,61,1885
1015,2014-06-02,2015-10-14,1,16,499
1016,2014-06-02,2015-09-22,1,15,477
1017,2014-06-09,2015-11-30,1,17,539
1018,2014-06-09,2015-10-02,1,15,480
1019,2014-06-09,2014-10-30,0,4,143
1020,2014-06-09,2014-08-14,0,2,66
1021,2014-06-09,2014-08-14,0,2,66
1022,2014-06-11,//,5,61,1876
1023,2014-06-16,2016-03-18,1,21,641
1024,2014-06-16,2015-12-31,1,18,563
1025,2014-06-17,2018-03-31,3,45,1383
1026,2014-06-18,2018-04-27,3,46,1409
1027,2014-06-18,2015-09-30,1,15,469
1028,2014-06-18,//,5,61,1869
1029,2014-06-16,2014-06-18,0,0,2
1030,2014-06-23,2014-12-05,0,5,165
1031,2014-06-23,//,5,61,1864
1032,2014-06-30,2019-02-06,4,55,1682
1033,2014-06-30,2015-03-16,0,8,259
1034,2014-07-10,2016-04-30,1,21,660
1035,2014-07-14,2015-11-25,1,16,499
1036,2014-07-14,2014-10-23,0,3,101
1037,2014-07-14,2014-07-16,0,0,2
1038,2014-07-14,2016-08-04,2,24,752
1039,2014-07-21,2017-04-30,2,33,1014
1040,2014-07-28,//,5,60,1829
1041,2014-07-29,2014-10-01,0,2,64
1042,2014-08-11,2016-04-30,1,20,628
1043,2014-08-11,2015-02-28,0,6,201
1044,2014-08-11,//,5,59,1815
1045,2014-08-13,2014-08-26,0,0,13
1046,2014-08-13,2015-02-12,0,5,183
1047,2014-08-13,2014-12-10,0,3,119
1048,2014-08-13,2015-04-01,0,7,231
1049,2014-08-18,2016-08-17,1,23,730
1050,2014-08-18,2014-10-31,0,2,74
1051,2014-08-18,2014-10-31,0,2,74
1052,2014-08-21,2016-10-16,2,25,787
1053,2014-08-21,2015-03-19,0,6,210
1054,2014-08-21,2014-09-11,0,0,21
1055,2014-08-21,2015-03-19,0,6,210
1056,1994-01-01,2017-08-31,23,283,8643
1057,2014-09-01,2015-01-12,0,4,133
1058,2014-09-01,2014-10-24,0,1,53
1059,2014-09-15,2015-09-14,0,11,364
1060,2014-09-15,2015-03-31,0,6,197
1061,2014-09-15,//,5,58,1780
1062,2014-09-22,2014-09-30,0,0,8
1063,2014-09-22,//,5,58,1773
1064,2014-09-29,//,5,58,1766
1065,2014-10-01,//,5,57,1764
1066,2014-10-01,2017-12-25,3,38,1181
1067,2014-10-06,2019-01-18,4,51,1565
1068,2014-10-06,//,5,57,1759
1069,2014-10-06,2016-03-04,1,16,515
1070,2014-10-08,2015-03-31,0,5,174
1071,2014-10-13,2018-02-28,3,40,1234
1072,2014-10-15,2014-10-23,0,0,8
1073,2014-10-15,2014-10-23,0,0,8
1074,2014-10-15,2018-03-12,3,40,1244
1075,2014-10-20,2015-03-06,0,4,137
1076,2014-10-20,2015-05-15,0,6,207
1077,2014-10-20,//,5,57,1745
1078,2014-10-22,2014-10-29,0,0,7
1079,2014-10-27,2015-08-30,0,10,307
1080,2014-10-27,2015-01-24,0,2,89
1081,2014-10-27,//,5,57,1738
1082,2014-11-03,2015-03-28,0,4,145
1083,2014-11-03,//,5,56,1731
1084,2014-11-03,2016-07-31,1,20,636
1085,2014-11-03,//,5,56,1731
1086,2014-11-03,//,5,56,1731
1087,2014-11-03,2016-07-31,1,20,636
1088,2014-11-03,2016-04-30,1,17,544
1089,2014-11-10,2015-12-31,1,13,416
1090,2014-11-10,2016-02-25,1,15,472
1091,2014-11-10,2016-08-17,1,21,646
1092,2014-11-10,2015-04-27,0,5,168
1093,2014-11-12,2014-11-21,0,0,9
1094,2014-11-12,2014-11-21,0,0,9
1095,2014-11-12,2015-02-12,0,3,92
1096,2014-11-14,2015-04-21,0,5,158
1097,2014-11-17,2016-11-16,1,23,730
1098,2014-11-17,2016-04-30,1,17,530
1099,2014-11-17,2016-04-30,1,17,530
1100,2014-11-17,2014-11-30,0,0,13
1101,2014-11-17,2014-11-18,0,0,1
1102,2014-11-17,2014-12-19,0,1,32
1103,2014-11-17,2016-04-30,1,17,530
1104,2014-11-18,2014-12-31,0,1,43
1105,2014-12-01,2014-12-31,0,0,30
1106,2014-12-01,//,5,55,1703
1107,2014-12-01,//,5,55,1703
1108,2014-12-01,2016-07-31,1,19,608
1109,2014-12-01,//,5,55,1703
1110,2014-12-01,2016-04-30,1,16,516
1111,2014-12-08,2015-02-11,0,2,65
1112,2014-12-10,2018-06-04,3,41,1272
1113,2014-12-15,2015-02-05,0,1,52
1114,2014-12-15,2016-02-29,1,14,441
1115,2014-12-15,2015-02-25,0,2,72
1116,2014-12-22,2016-11-30,1,23,709
1117,2014-12-22,2016-12-21,1,23,730
1118,2014-12-22,//,5,55,1682
1119,2014-12-24,2015-03-30,0,3,96
1120,2014-12-24,2015-01-31,0,1,38
1121,2014-12-24,2015-02-17,0,1,55
1122,2014-12-24,2015-02-07,0,1,45
1123,2014-12-24,2015-02-17,0,1,55
1124,2014-12-24,2015-02-07,0,1,45
1125,2014-12-29,2016-04-18,1,15,476
1126,2014-12-29,2015-09-30,0,9,275
1127,2014-12-29,2015-03-27,0,2,88
1128,2014-12-29,//,5,55,1675
1129,2014-12-30,2015-02-13,0,1,45
1130,2014-12-30,2015-03-19,0,2,79
1131,2014-12-30,2015-03-05,0,2,65
1132,2014-12-30,2015-03-05,0,2,65
1133,2014-12-30,2015-03-05,0,2,65
1134,2015-01-01,2015-09-30,0,8,272
1135,2015-01-05,2018-01-04,2,35,1095
1136,2015-01-05,2019-03-31,4,50,1546
1137,2015-01-05,//,4,54,1668
1138,2015-01-05,2015-01-31,0,0,26
1139,2015-01-05,2016-04-30,1,15,481
1140,2015-01-09,//,4,54,1664
1141,2015-01-12,2015-10-30,0,9,291
1142,2015-01-12,2017-11-30,2,34,1053
1143,2015-01-12,2015-03-20,0,2,67
1144,2015-01-12,2015-01-28,0,0,16
1145,2015-01-14,2016-05-31,1,16,503
1146,2015-01-01,2015-12-31,0,11,364
1147,2015-01-22,2015-07-21,0,5,180
1148,2015-01-22,2015-07-21,0,5,180
1149,2015-01-22,2015-03-20,0,1,57
1150,2015-01-22,2015-06-29,0,5,158
1151,2015-01-26,//,4,54,1647
1152,2015-02-02,//,4,53,1640
1153,2015-02-02,2015-05-14,0,3,101
1154,2015-02-09,2015-06-30,0,4,141
1155,2015-02-09,2015-10-08,0,7,241
1156,2015-02-09,2016-01-04,0,10,329
1157,2015-02-09,2016-05-31,1,15,477
1158,2015-02-09,2015-09-30,0,7,233
1159,2015-02-09,2016-04-30,1,14,446
1160,2015-02-24,2016-01-08,0,10,318
1161,2015-02-23,2015-12-30,0,10,310
1162,2015-02-23,2015-03-02,0,0,7
1163,2015-02-23,2015-02-25,0,0,2
1164,2015-03-02,2018-03-31,3,36,1125
1165,2015-03-02,2016-06-17,1,15,473
1166,2015-03-02,2015-03-31,0,0,29
1167,2015-03-02,2015-03-31,0,0,29
1168,2015-03-02,2016-04-30,1,13,425
1169,2015-03-02,2018-05-22,3,38,1177
1170,2015-03-09,2015-05-27,0,2,79
1171,2015-03-09,2017-05-23,2,26,806
1172,2015-03-09,//,4,52,1605
1173,2015-03-16,2015-05-31,0,2,76
1174,2015-04-01,//,4,51,1582
1175,2015-04-06,2015-06-02,0,1,57
1176,2015-04-06,//,4,51,1577
1177,2015-04-06,2015-12-31,0,8,269
1178,2015-04-06,2015-09-11,0,5,158
1179,2015-04-06,2015-12-31,0,8,269
1180,2015-04-06,2015-12-31,0,8,269
1181,2015-04-06,2019-01-28,3,45,1393
1182,2015-04-13,2015-12-31,0,8,262
1183,2015-04-20,2015-09-30,0,5,163
1184,2015-04-22,//,4,51,1561
1185,2015-04-22,2015-09-30,0,5,161
1186,2015-04-22,2015-07-21,0,2,90
1187,2015-04-22,2015-12-02,0,7,224
1188,2015-04-27,//,4,51,1556
1189,2015-04-27,2015-12-31,0,8,248
1190,2015-04-27,2018-08-17,3,39,1208
1191,2015-04-28,2015-05-05,0,0,7
1192,2015-04-28,2015-05-05,0,0,7
1193,2015-04-29,2015-07-28,0,2,90
1194,2015-05-06,2017-01-31,1,20,636
1195,2015-05-06,2016-07-22,1,14,443
1196,2015-05-11,2015-10-29,0,5,171
1197,2015-05-13,2015-05-19,0,0,6
1198,2015-05-18,2015-08-17,0,2,91
1199,2015-05-18,2015-08-17,0,2,91
1200,2015-05-18,2017-04-30,1,23,713
1201,2015-05-21,2017-03-31,1,22,680
1202,2015-05-21,2015-12-31,0,7,224
1203,2015-05-21,2015-12-31,0,7,224
1204,2015-05-21,2015-12-31,0,7,224
1205,2015-05-21,2015-08-27,0,3,98
1206,2015-05-21,2015-12-31,0,7,224
1207,2015-05-26,2015-08-26,0,3,92
1208,2015-05-26,2016-04-30,0,11,340
1209,2015-05-28,2016-05-30,1,12,368
1210,2015-06-01,//,4,49,1521
1211,2015-06-08,2015-09-25,0,3,109
1212,2015-06-08,2016-04-30,0,10,327
1213,2015-06-10,2015-12-31,0,6,204
1214,2015-06-10,2015-09-09,0,2,91
1215,2015-06-10,2015-07-31,0,1,51
1216,2015-06-15,2015-06-30,0,0,15
1217,2015-06-12,2015-07-30,0,1,48
1218,2015-06-22,2015-10-31,0,4,131
1219,2015-06-22,2015-12-31,0,6,192
1220,2015-06-24,2016-02-14,0,7,235
1221,2015-06-29,2016-04-30,0,10,306
1222,2015-06-29,2015-11-30,0,5,154
1223,2015-07-13,2019-03-29,3,44,1355
1224,2015-07-13,2015-08-30,0,1,48
1225,2015-07-13,2015-08-30,0,1,48
1226,2015-07-13,2015-08-30,0,1,48
1227,2015-07-20,//,4,48,1472
1228,1999-09-01,2019-07-31,19,238,7273
1229,2015-08-03,2015-10-02,0,1,60
1230,2015-08-10,2019-04-30,3,44,1359
1231,2015-08-10,2016-08-10,1,12,366
1232,2015-08-10,2016-04-30,0,8,264
1233,2015-08-17,2015-09-07,0,0,21
1234,2015-08-24,2016-07-06,0,10,317
1235,2015-08-25,2016-08-26,1,12,367
1236,2015-09-07,2018-01-19,2,28,865
1237,2015-10-01,//,4,45,1399
1238,2019-03-08,2019-03-08,0,0,0
1239,2015-10-01,2016-03-11,0,5,162
1240,2015-10-05,2016-04-30,0,6,208
1241,2015-10-15,2015-12-31,0,2,77
1242,2015-10-15,2015-12-31,0,2,77
1243,2015-10-21,2018-01-31,2,27,833
1244,2015-10-27,2015-12-31,0,2,65
1245,2015-10-15,//,4,45,1385
1246,2015-11-11,//,4,44,1358
1247,2015-12-01,2017-11-30,1,23,730
1248,2015-12-01,//,4,43,1338
1249,2015-12-01,2016-11-30,0,11,365
1250,2015-12-01,2016-03-31,0,3,121
1251,2015-12-01,2017-04-28,1,16,514
1252,2015-12-01,2016-07-31,0,7,243
1253,2015-12-14,2015-12-16,0,0,2
1254,2015-12-14,2016-02-06,0,1,54
1255,2015-12-15,2016-08-19,0,8,248
1256,2015-12-21,2016-04-30,0,4,131
1257,2016-01-05,2018-02-09,2,25,766
1258,2016-01-18,2018-01-17,1,23,730
1259,2016-01-18,2016-04-17,0,2,90
1260,2016-01-18,2016-04-17,0,2,90
1261,2016-01-18,2016-04-17,0,2,90
1262,2016-01-18,2016-04-17,0,2,90
1263,2016-01-18,2016-04-17,0,2,90
1264,2016-01-18,2016-04-17,0,2,90
1265,2016-01-18,2016-06-17,0,4,151
1266,2016-01-18,2016-06-17,0,4,151
1267,2016-01-18,2016-04-17,0,2,90
1268,2016-01-18,2016-04-17,0,2,90
1269,2016-01-25,2016-09-21,0,7,240
1270,2016-01-28,2016-04-27,0,2,90
1271,2016-01-28,2016-03-16,0,1,48
1272,2016-02-15,2018-06-28,2,28,864
1273,2016-02-15,2017-03-17,1,13,396
1274,2016-02-15,//,3,41,1262
1275,2016-02-15,2016-12-07,0,9,296
1276,2016-02-15,//,3,41,1262
1277,2016-02-22,//,3,41,1255
