직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
144,2008-01-28,2016-07-31,8,102,3107
145,2008-01-28,//,11,138,4202
146,2008-01-28,//,11,138,4202
147,2008-01-28,2011-12-20,3,46,1422
148,2008-01-28,2013-02-23,5,60,1853
149,2008-01-28,//,11,138,4202
150,2008-01-28,2017-05-07,9,111,3387
151,2008-01-28,//,11,138,4202
152,2008-01-28,2011-06-24,3,40,1243
153,2008-01-28,2017-05-31,9,112,3411
154,2008-01-28,2011-06-29,3,41,1248
155,2008-01-28,2015-10-31,7,93,2833
156,2008-01-28,//,11,138,4202
157,2008-01-28,2009-09-04,1,19,585
158,2008-01-28,2012-09-08,4,55,1685
159,2008-01-28,2011-08-31,3,43,1311
160,2008-01-28,2011-10-01,3,44,1342
161,2008-01-28,//,11,138,4202
162,2008-01-28,2015-07-08,7,89,2718
163,2008-01-28,//,11,138,4202
164,2008-01-28,2011-05-20,3,39,1208
165,2008-01-28,//,11,138,4202
166,2008-02-01,//,11,137,4198
167,2008-02-04,2009-06-28,1,16,510
168,2008-02-11,2013-01-18,4,59,1803
169,2008-02-21,2010-05-20,2,26,819
170,2008-03-03,2010-03-26,2,24,753
171,2008-03-06,2015-12-31,7,93,2856
172,2008-03-17,2010-08-20,2,29,886
173,2008-03-19,2016-04-30,8,97,2964
174,2008-03-19,2016-04-30,8,97,2964
175,2008-03-21,2011-06-28,3,39,1194
176,2008-03-24,2012-06-30,4,51,1559
177,2008-03-24,//,11,136,4146
178,2008-03-31,//,11,136,4139
179,2008-04-07,2012-06-26,4,50,1541
180,2008-04-07,2011-08-19,3,40,1229
181,2008-04-21,2016-07-31,8,99,3023
182,2008-04-23,2010-10-20,2,29,910
183,2008-04-28,2013-08-31,5,64,1951
184,2008-04-28,2012-06-08,4,49,1502
185,2008-05-15,2012-06-30,4,49,1507
186,2008-05-19,2008-11-30,0,6,195
187,2008-06-02,2012-01-20,3,43,1327
188,2008-06-02,//,11,133,4076
189,2008-06-02,2015-04-10,6,82,2503
190,2008-06-02,2017-11-30,9,113,3468
191,2008-06-02,2015-09-30,7,87,2676
192,2008-06-02,//,11,133,4076
193,2008-06-02,//,11,133,4076
194,2008-06-09,2011-05-25,2,35,1080
195,2008-06-23,2016-04-30,7,94,2868
196,2008-06-30,2011-10-28,3,39,1215
197,2008-06-30,2011-11-30,3,41,1248
198,2008-07-02,2011-03-20,2,32,991
199,2008-07-02,2016-02-29,7,91,2798
200,2008-07-07,2015-03-19,6,80,2446
201,2008-07-07,2016-04-30,7,93,2854
202,2008-07-08,//,11,132,4040
203,2008-07-14,2009-10-16,1,15,459
204,2008-07-14,2014-08-31,6,73,2239
205,2008-07-14,//,11,132,4034
206,2008-07-14,2009-02-03,0,6,204
207,2008-07-16,2009-03-04,0,7,231
208,2008-07-16,//,11,132,4032
209,2008-07-21,2010-10-08,2,26,809
210,2008-07-22,2011-11-25,3,40,1221
211,2008-08-04,2010-12-20,2,28,868
212,2008-08-05,2011-10-14,3,38,1165
213,2008-08-09,2010-12-10,2,28,853
214,2008-08-18,2010-09-10,2,24,753
215,2008-08-18,2012-01-13,3,40,1243
216,2008-08-18,2012-10-31,4,50,1535
217,2008-08-25,//,11,131,3992
218,2008-08-25,2010-12-17,2,27,844
219,2008-09-01,2015-11-10,7,86,2626
220,2008-09-01,2009-11-05,1,14,430
221,2008-09-01,//,11,130,3985
222,2008-09-08,2012-01-31,3,40,1240
223,2008-09-09,//,11,130,3977
224,2008-09-17,2014-12-31,6,75,2296
225,2008-09-22,//,11,130,3964
226,2008-09-22,2015-05-31,6,80,2442
227,2008-09-29,//,11,130,3957
228,2008-10-08,2012-11-02,4,48,1486
229,2008-10-08,//,11,129,3948
230,2008-10-13,//,11,129,3943
231,2008-10-21,2016-05-03,7,90,2751
232,2008-10-27,2008-12-31,0,2,65
233,2008-10-31,2011-04-29,2,29,910
234,2008-11-03,2018-03-09,9,112,3413
235,2008-11-03,//,11,128,3922
236,2008-11-03,2009-11-20,1,12,382
237,2008-11-17,2016-04-30,7,89,2721
238,2008-11-17,//,11,128,3908
239,2008-11-17,//,11,128,3908
240,2008-11-17,2014-10-25,5,71,2168
241,2008-11-24,//,11,128,3901
242,2008-12-01,//,11,127,3894
243,2008-12-01,2013-06-30,4,54,1672
244,2008-12-01,2011-11-22,2,35,1086
245,2008-12-01,2011-07-15,2,31,956
246,2008-12-01,//,11,127,3894
247,2008-12-01,2011-07-31,2,31,972
248,2008-12-01,2013-11-30,4,59,1825
249,2008-12-01,2016-09-30,7,93,2860
250,2008-12-01,2013-03-20,4,51,1570
251,2008-12-01,2010-09-20,1,21,658
252,2008-12-01,2009-04-15,0,4,135
