id,lat,lng,duration
1,35.53482230000001,129.2987497,1095712.0
2,35.4422317,129.3079002,1246911.0
3,35.5366785,129.2851759,1259295.0
4,35.4077815,129.28631,1417181.0
5,35.5625399,129.2285332,1579414.0
6,35.5481709,129.3150313,1121200.0
7,35.5514583,129.253809,1408867.0
8,35.4353551,129.3115951,1066918.0
9,35.2266324,129.0800565,3169394.0
10,35.557903,129.3083315,1302812.0
11,35.524352,129.317304,871290.0
12,35.335747,129.166768,2512192.0
13,35.53732189999999,129.3208043,835860.0
14,35.4045597,129.2896431,1415862.0
15,35.5174192,129.3153684,907552.0
16,35.41225319999999,129.2851988,1209987.0
17,35.5425461,129.4311815,1570396.0
18,35.4865223,129.2948347,878835.0
19,35.4139167,129.2821766,1158977.0
20,35.5239629,129.3247198,705449.0
21,35.5551616,129.2524243,1284735.0
22,35.4413583,129.3073993,1204983.0
23,35.3968853,129.2375797,1754719.0
24,35.4136661,129.2798902,1187986.0
25,35.553446,129.256594,1311594.0
26,35.3430375,129.3189852,2040242.0
27,35.5571231,129.1899537,1749895.0
28,35.5197753,129.3129616,905062.0
29,35.2166615,128.6914018,4718223.0
30,35.5272401,129.3163594,807425.0
31,35.5321287,129.3316078,780836.0
32,35.5799561,129.3141081,1771701.0
33,35.483884,129.303975,837927.0
34,35.63036719999999,129.3362435,1655462.0
35,35.6416997,129.3617407,1774133.0
36,37.5104801,126.8591496,15762327.0
37,35.4070213,129.2827995,1357351.0
38,37.3549003,127.1125776,14887361.0
39,37.3061498,126.9685333,14498901.0
40,35.548422,129.2514165,1471644.0
41,37.6132172,127.0027802,15547110.0
42,37.5263715,126.8962283,15886419.0
43,37.4976556,127.0472703,15296083.0
44,37.4840455,127.0099965,15012437.0
45,37.7192361,126.7153922,17067214.0
46,37.4957267,127.0603371,15289032.0
47,35.405605,129.2907397,1404034.0
48,34.8901333,128.4499012,7432539.0
49,35.5511275,129.3832413,1178110.0
50,37.3842532,126.9799018,14813243.0
51,35.2554743,129.2177837,2454037.0
52,35.5390432,129.2597254,1279695.0
53,,,
54,35.5611836,129.331885,1166787.0
55,37.3958051,126.9466718,15137320.0
56,35.5388499,129.3194698,916415.0
57,,,
58,35.219543,128.7047862,4763710.0
59,35.5600695,129.3375967,1151488.0
60,35.5514583,129.253809,1408867.0
61,35.5727428,129.2434623,1651692.0
62,35.5531261,129.3225803,1021717.0
63,35.6416997,129.3617407,1768679.0
64,35.5390432,129.2597254,1279695.0
65,35.5483758,129.2546913,1389707.0
66,35.135114,128.992317,3981832.0
67,37.7084605,126.9034728,15874094.0
68,35.4360786,129.2978614,1042543.0
69,35.5799607,129.3217944,1637294.0
70,35.521918,129.319489,886929.0
71,35.5294345,129.3238586,779510.0
72,37.5015317,126.73038,15699502.0
73,,,
74,35.1721653,129.0777275,3269392.0
75,35.410871,129.28256,1280622.0
76,37.4890746,127.1142451,14983359.0
