id,duration
1,17909539
2,1219129
3,1019441
4,3652762
5,1488562
6,1151982
7,5051284
8,885953
9,2851130
10,3194765
11,6481853
12,16029028
13,1266522
14,1380165
15,5369373
16,1205630
17,1151982
18,897507
19,1431249
20,632297
21,15370424
22,3241869
23,1766126
24,15709491
25,2853113
26,1151982
27,12982277
28,1151982
29,4618450
30,9030345
31,1151982
32,1151982
33,1151982
34,1266522
35,15864856
36,15986148
37,5052299
38,12013299
39,15539022
40,3528792
41,15707068
42,15605610
43,15111871
44,14945667
45,17183654
46,15109585
47,3664190
48,7412969
49,1266522
50,15046129
51,5054732
52,1151982
53,5591569.021
54,15780950
55,5521717
56,834521
57,1266522
58,4555746
59,1108713
60,6001825
61,1266522
62,913749
63,1266522
64,1189192
65,1151982
66,3655576
67,16338153
68,2866054
69,1500537
70,766062
71,2852152
72,5591569.021
73,5591569.021
74,3084053
75,2923010
76,15137371
77,14819426
78,934508
79,1266522
80,14747106
81,15323061
82,3015084
83,821834
84,2851684
85,16160282
86,3732078
87,719291
88,2851649
89,1267979
90,3012002
91,2864304
92,5810994
93,1145015
94,1267979
95,2610993
96,3440376
97,1352711
98,15256286
99,12128417
100,4123945
101,1149702
102,868803
103,15389252
104,5591569.021
105,2918596
106,15160633
107,15541792
108,923988
109,3460492
110,1376138
111,14575338
112,1074472
113,15675585
114,3131393
115,904537
116,10561908
117,1376155
118,2863469
119,14462035
120,15889185
121,1022803
122,15042285
123,1267979
124,16843943
125,2919980
126,1528231
127,1267979
128,3667289
129,5591569.021
130,5591569.021
131,15516479
132,1055901
133,2863469
134,4628493
135,3815859
136,3289275
137,15545057
138,15214486
139,12182530
140,4616731
141,4327718
142,16164696
143,1193864
144,4477746
145,3729627
146,6482095
147,1055054
148,3014085
149,6826933
150,8097523
151,2862745
152,1055901
153,2918855
154,2543426
155,15672437
156,3668042
157,15468506
158,904537
159,11291020
160,1055901
161,1267979
162,6483920
163,2862745
164,1192847
165,16256657
166,1149702
167,3367110
168,1267979
169,617643
170,1722325
171,16352741
172,14789618
173,1267979
174,4988572
175,14926473
176,815115
177,3649512
178,16368509
179,1087487
180,969368
181,15818499
182,1009625
183,10566415
184,4518198
185,5162951
186,15455536
187,1417137
188,2861374
189,4019667
190,1445589
191,3212925
192,5797205
193,1267979
194,600378
195,5074662
196,934571
197,5591569.021
198,799236
199,768579
200,4457789
201,5794217
202,886386
203,1338409
204,1276828
205,5084554
206,2133164
207,14829514
208,1276828
209,1053063
210,934419
211,1061065
212,876196
213,1070280
214,853699
215,1253938
216,1276828
217,1149702
218,5026416
219,5591569.021
220,13968706
221,4730259
222,1061141
223,1149702
224,2811606
225,1149702
226,5430010
227,5761543
228,5083342
229,1276828
230,1276828
231,3255672
232,1179406
233,2430250
