id,gender,gender_text
532,1,male
533,1,male
534,0,female
535,1,male
536,1,male
537,1,male
538,0,female
539,1,male
540,1,male
541,1,male
542,1,male
543,1,male
544,1,male
545,1,male
546,0,female
547,1,male
548,1,male
549,1,male
550,1,male
551,1,male
552,1,male
553,1,male
554,1,male
555,1,male
556,1,male
557,1,male
558,1,male
559,1,male
560,1,male
561,1,male
562,1,male
563,1,male
564,1,male
565,1,male
566,0,female
567,1,male
568,1,male
569,1,male
570,1,male
571,0,female
572,1,male
573,1,male
574,1,male
575,1,male
576,1,male
577,1,male
578,1,male
579,1,male
580,1,male
581,1,male
582,1,male
583,1,male
584,1,male
585,1,male
586,1,male
587,1,male
588,1,male
589,1,male
590,1,male
591,1,male
592,1,male
593,1,male
594,1,male
595,1,male
596,1,male
597,1,male
598,1,male
599,1,male
600,1,male
601,1,male
602,1,male
603,1,male
604,1,male
605,0,female
606,1,male
607,1,male
608,1,male
609,1,male
610,1,male
611,1,male
612,1,male
613,1,male
614,1,male
615,1,male
616,1,male
617,1,male
618,1,male
619,1,male
620,1,male
621,1,male
622,1,male
623,1,male
624,1,male
625,0,female
626,1,male
627,1,male
628,1,male
629,1,male
630,1,male
631,1,male
632,1,male
633,1,male
634,1,male
635,1,male
636,1,male
637,1,male
638,1,male
639,1,male
640,1,male
641,1,male
642,1,male
643,1,male
644,1,male
645,1,male
646,1,male
647,0,female
648,1,male
649,1,male
650,0,female
651,1,male
652,1,male
653,1,male
654,1,male
655,1,male
656,1,male
657,0,female
658,1,male
659,1,male
660,0,female
661,1,male
662,1,male
663,1,male
664,1,male
665,1,male
666,1,male
667,0,female
668,1,male
669,1,male
670,1,male
671,1,male
672,1,male
673,1,male
674,1,male
675,1,male
676,1,male
677,1,male
678,0,female
679,1,male
680,1,male
681,1,male
682,0,female
683,1,male
684,1,male
685,0,female
686,0,female
687,0,female
688,0,female
689,0,female
690,0,female
691,1,male
692,1,male
693,1,male
694,1,male
695,1,male
696,1,male
697,1,male
698,1,male
699,1,male
700,1,male
701,0,female
702,1,male
703,1,male
704,1,male
705,1,male
706,1,male
707,1,male
708,1,male
709,1,male
710,1,male
711,1,male
712,0,female
713,1,male
714,1,male
715,0,female
716,1,male
717,1,male
718,1,male
719,0,female
720,1,male
721,1,male
722,1,male
723,1,male
724,1,male
725,1,male
726,1,male
727,1,male
728,1,male
729,1,male
730,1,male
731,1,male
732,1,male
733,1,male
734,1,male
735,1,male
736,0,female
737,1,male
738,1,male
739,1,male
740,1,male
741,1,male
742,1,male
743,0,female
744,1,male
745,1,male
746,1,male
747,1,male
748,1,male
749,1,male
750,1,male
751,1,male
752,1,male
753,1,male
754,0,female
755,1,male
756,1,male
757,1,male
758,1,male
759,1,male
760,1,male
761,1,male
762,1,male
763,1,male
764,1,male
765,1,male
766,1,male
767,0,female
768,1,male
769,0,female
770,0,female
771,1,male
772,1,male
773,1,male
774,1,male
775,0,female
776,1,male
777,1,male
778,1,male
779,1,male
780,1,male
781,1,male
782,1,male
783,1,male
784,1,male
785,1,male
786,1,male
787,1,male
788,1,male
789,1,male
790,0,female
791,1,male
792,1,male
793,1,male
794,0,female
795,1,male
796,1,male
797,1,male
798,1,male
799,1,male
800,1,male
801,1,male
802,1,male
803,1,male
804,0,female
805,1,male
806,1,male
807,1,male
808,1,male
809,1,male
810,1,male
811,0,female
812,0,female
813,1,male
814,1,male
815,1,male
816,1,male
817,1,male
818,1,male
819,1,male
820,0,female
821,1,male
822,1,male
823,1,male
824,1,male
825,1,male
826,1,male
827,1,male
828,1,male
829,1,male
830,1,male
831,1,male
832,1,male
833,1,male
834,0,female
835,1,male
836,1,male
837,1,male
838,1,male
839,0,female
840,0,female
841,1,male
842,0,female
843,1,male
844,0,female
845,1,male
846,1,male
847,1,male
848,1,male
849,1,male
850,0,female
851,0,female
852,0,female
853,1,male
854,1,male
855,0,female
856,0,female
857,1,male
858,1,male
859,1,male
860,1,male
861,1,male
862,1,male
863,1,male
864,1,male
865,1,male
866,1,male
867,1,male
868,0,female
869,1,male
870,1,male
871,1,male
872,1,male
873,1,male
874,1,male
875,1,male
876,1,male
877,1,male
878,1,male
879,1,male
880,1,male
881,0,female
882,1,male
883,1,male
884,1,male
885,1,male
886,0,female
887,1,male
888,1,male
889,0,female
890,1,male
891,1,male
892,1,male
893,1,male
894,1,male
895,1,male
896,1,male
897,1,male
898,1,male
899,1,male
900,1,male
901,1,male
902,1,male
903,1,male
904,1,male
905,1,male
906,1,male
907,1,male
908,1,male
909,1,male
910,1,male
911,1,male
912,1,male
913,1,male
914,1,male
915,1,male
916,1,male
917,1,male
918,1,male
919,1,male
920,0,female
921,1,male
922,1,male
923,1,male
924,1,male
925,1,male
926,1,male
927,1,male
928,1,male
929,1,male
930,1,male
931,1,male
932,1,male
933,1,male
934,1,male
935,1,male
936,1,male
937,1,male
938,1,male
939,1,male
940,1,male
941,1,male
942,1,male
943,1,male
944,0,female
945,1,male
946,1,male
947,1,male
948,1,male
949,1,male
950,1,male
951,1,male
952,1,male
953,1,male
954,1,male
955,1,male
956,1,male
957,1,male
958,1,male
959,1,male
960,1,male
961,1,male
962,1,male
963,1,male
964,1,male
965,1,male
966,1,male
967,1,male
968,0,female
969,1,male
970,1,male
971,1,male
972,0,female
973,1,male
974,1,male
975,1,male
976,1,male
977,1,male
978,1,male
979,1,male
980,1,male
981,1,male
982,1,male
983,1,male
984,1,male
985,1,male
986,1,male
987,1,male
988,1,male
989,1,male
990,1,male
991,1,male
992,0,female
993,1,male
994,1,male
995,0,female
996,1,male
997,1,male
998,0,female
999,1,male
1000,1,male
1001,1,male
1002,1,male
1003,1,male
1004,1,male
1005,1,male
1006,1,male
1007,1,male
1008,1,male
1009,1,male
1010,1,male
1011,1,male
1012,1,male
1013,1,male
1014,1,male
1015,1,male
1016,1,male
1017,1,male
1018,1,male
1019,1,male
1020,1,male
1021,1,male
1022,1,male
1023,1,male
1024,1,male
1025,1,male
1026,1,male
1027,1,male
1028,1,male
1029,1,male
1030,1,male
1031,1,male
1032,1,male
1033,1,male
1034,0,female
1035,1,male
1036,1,male
1037,1,male
1038,1,male
1039,1,male
1040,1,male
1041,1,male
1042,1,male
1043,1,male
1044,0,female
1045,1,male
1046,1,male
1047,1,male
1048,1,male
1049,1,male
1050,1,male
1051,1,male
1052,1,male
1053,1,male
1054,1,male
1055,1,male
1056,1,male
1057,1,male
1058,1,male
1059,1,male
1060,1,male
1061,1,male
1062,1,male
1063,1,male
1064,1,male
1065,1,male
1066,1,male
1067,1,male
1068,1,male
1069,1,male
1070,1,male
1071,1,male
1072,1,male
1073,1,male
1074,1,male
1075,1,male
1076,1,male
1077,1,male
1078,1,male
1079,0,female
1080,1,male
1081,1,male
1082,1,male
1083,1,male
1084,1,male
1085,1,male
1086,0,female
1087,1,male
1088,1,male
1089,1,male
1090,1,male
1091,1,male
1092,1,male
1093,1,male
1094,1,male
1095,1,male
1096,1,male
1097,1,male
1098,1,male
1099,1,male
1100,1,male
1101,1,male
1102,1,male
1103,1,male
1104,1,male
1105,1,male
1106,1,male
1107,1,male
1108,1,male
1109,1,male
1110,1,male
1111,1,male
1112,1,male
1113,1,male
1114,1,male
1115,1,male
1116,1,male
1117,0,female
1118,1,male
1119,1,male
1120,1,male
1121,1,male
1122,1,male
1123,1,male
1124,1,male
1125,0,female
1126,1,male
1127,1,male
1128,1,male
1129,1,male
1130,1,male
1131,1,male
1132,1,male
1133,1,male
1134,1,male
1135,1,male
1136,1,male
1137,1,male
1138,1,male
1139,1,male
1140,1,male
1141,1,male
1142,1,male
1143,1,male
1144,1,male
1145,1,male
1146,1,male
1147,1,male
1148,1,male
1149,1,male
1150,1,male
1151,0,female
1152,1,male
1153,1,male
1154,1,male
1155,1,male
1156,1,male
1157,1,male
1158,1,male
1159,1,male
1160,1,male
1161,1,male
1162,1,male
1163,1,male
1164,1,male
1165,1,male
1166,0,female
1167,0,female
1168,1,male
1169,1,male
1170,1,male
1171,1,male
1172,1,male
1173,1,male
1174,1,male
1175,1,male
1176,1,male
1177,1,male
1178,1,male
1179,0,female
1180,1,male
1181,1,male
1182,1,male
1183,1,male
1184,1,male
1185,1,male
1186,1,male
1187,1,male
1188,1,male
1189,1,male
1190,1,male
1191,1,male
1192,1,male
1193,1,male
1194,1,male
1195,1,male
1196,1,male
1197,1,male
1198,1,male
1199,1,male
1200,1,male
1201,1,male
1202,1,male
1203,1,male
1204,1,male
1205,1,male
1206,1,male
1207,0,female
1208,1,male
1209,1,male
1210,1,male
1211,0,female
1212,1,male
1213,1,male
1214,1,male
1215,1,male
1216,0,female
1217,1,male
1218,1,male
1219,1,male
1220,1,male
1221,1,male
1222,1,male
1223,1,male
1224,1,male
1225,1,male
1226,1,male
1227,0,female
1228,1,male
1229,1,male
1230,1,male
1231,1,male
1232,1,male
1233,1,male
1234,1,male
1235,1,male
1236,1,male
1237,1,male
1238,1,male
1239,1,male
1240,1,male
1241,1,male
1242,1,male
1243,1,male
1244,1,male
1245,1,male
1246,1,male
1247,1,male
1248,1,male
1249,1,male
1250,1,male
1251,1,male
1252,1,male
1253,1,male
1254,0,female
1255,1,male
1256,1,male
1257,1,male
1258,1,male
1259,1,male
1260,1,male
1261,1,male
1262,1,male
1263,1,male
1264,0,female
1265,1,male
1266,1,male
1267,1,male
1268,1,male
1269,1,male
1270,1,male
1271,1,male
1272,1,male
1273,0,female
1274,1,male
1275,1,male
1276,1,male
