66,17,31,51,2,0.363
67,9,14,19,3,0.392
77,9,26,31,1,0.367
57,10,15,22,1,0.377
60,14,21,27,7,0.335
66,12,19,30,0,0.371
64,10,29,42,2,0.333
67,-1,22,30,1,0.366
45,4,21,26,0,0.346
68,10,22,31,4,0.338
46,18,24,61,5,0.25
53,10,28,46,3,0.291
66,6,20,43,7,0.324
62,9,20,48,2,0.308
70,9,10,29,2,0.347
63,14,18,51,5,0.292
57,9,12,21,0,0.352
29,5,28,26,0,0.299
46,3,13,21,2,0.365
52,12,24,52,1,0.28
58,7,9,25,2,0.33
61,6,14,30,1,0.316
68,9,8,56,1,0.327
57,5,9,48,11,0.311
21,7,21,18,0,0.296
53,1,17,20,0,0.315
60,8,11,28,2,0.335
44,6,16,25,1,0.297
44,8,13,35,0,0.27
43,10,12,37,0,0.269
56,0,26,24,9,0.324
39,5,19,34,4,0.275
58,2,12,31,4,0.322
31,3,8,21,1,0.36
47,7,10,33,5,0.333
35,4,16,28,2,0.267
47,7,11,25,11,0.29
38,1,9,22,4,0.392
64,5,21,22,5,0.314
53,2,19,23,2,0.321
48,4,10,31,1,0.306
39,4,16,45,0,0.312
51,10,17,46,2,0.277
44,6,13,34,5,0.282
45,-1,7,10,1,0.344
26,3,5,15,2,0.356
25,1,9,10,2,0.362
40,13,25,40,2,0.24
40,7,16,23,5,0.272
39,3,9,16,2,0.322
59,4,18,54,6,0.289
51,3,14,39,6,0.309
38,6,8,30,5,0.297
53,3,10,30,3,0.321
33,2,17,18,0,0.303
28,7,11,18,0,0.259
45,2,13,35,2,0.288
48,8,19,38,0,0.276
46,7,9,29,0,0.319
45,9,22,54,1,0.262
33,1,10,20,2,0.32
59,6,6,36,0,0.311
60,3,15,31,12,0.291
43,4,14,26,1,0.285
59,2,12,27,4,0.298
38,10,16,43,0,0.25
32,2,11,29,3,0.317
27,4,12,26,0,0.241
44,1,11,16,4,0.284
29,6,9,25,0,0.248
16,0,10,12,3,0.291
56,1,13,27,5,0.301
18,4,3,15,0,0.265
51,9,7,25,1,0.28
60,3,23,48,1,0.29
14,2,4,10,0,0.304
35,1,10,37,8,0.261
43,11,7,36,6,0.257
15,0,3,9,2,0.294
26,1,5,8,0,0.313
26,7,10,13,1,0.239
17,0,7,13,6,0.279
19,1,3,18,1,0.306
19,0,5,22,1,0.26
40,1,18,20,0,0.274
20,1,4,17,0,0.26
17,4,6,25,0,0.243
31,5,13,34,0,0.23
16,0,8,25,1,0.258
23,1,12,23,1,0.25
31,6,10,40,1,0.23
8,0,6,14,0,0.19
21,0,4,17,0,0.28
34,2,10,17,2,0.25
19,2,7,18,0,0.257
20,0,2,9,2,0.27
38,0,9,22,2,0.277
30,1,7,16,4,0.275
37,5,15,29,2,0.25
38,9,18,54,0,0.228
34,2,6,28,6,0.264
44,7,17,29,1,0.246
20,1,4,20,1,0.247
33,3,8,43,0,0.229
13,1,3,9,0,0.236
26,1,8,13,0,0.236
26,0,10,24,1,0.26
10,0,4,10,1,0.204
7,1,4,12,1,0.143
33,2,8,28,7,0.252
11,2,8,24,0,0.186
35,1,8,26,4,0.255
15,0,7,12,4,0.242
43,-1,7,52,2,0.236
13,1,5,22,0,0.22
14,0,7,7,4,0.2
18,0,4,4,3,0.231
18,1,9,30,1,0.191
18,0,2,26,0,0.214
20,0,6,26,1,0.187
24,4,7,35,4,0.216
9,1,4,15,1,0.148
14,1,4,31,1,0.154
23,1,3,14,1,0.215
19,0,4,8,0,0.196
10,0,2,41,0,0.111
