,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
36,37,0,2.0,0.0,43,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2005-12-16,//,14,163,4975,1.0,Sales,1.0,0,0.0,0.37704194444444444,5052299.0,1,3,2
37,38,1,0.0,1.0,32,Metropolitan,0.0,0.0,0.0,0,0.0,No,No,2005-12-26,2014-07-15,8,102,3123,4.0,Sales,1.0,0,0.0,4.135378055555556,12013299.0,1,3,2
38,39,1,2.0,0.0,28,Metropolitan,0.0,0.0,0.0,0,1.0,No,No,2005-12-26,2012-12-17,6,83,2548,6.0,Financial_management,0.0,0,0.0,4.0274725,15539022.0,0,3,2
40,41,1,0.0,0.0,33,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2006-01-09,2012-06-30,6,77,2364,4.0,Sales,1.0,0,0.0,4.318641666666666,15707068.0,0,3,2
46,47,1,1.0,1.0,41,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2006-03-13,2017-10-31,11,139,4250,2.0,Sales,1.0,0,0.0,0.39000944444444446,3664190.0,1,3,2
47,48,1,0.0,0.0,33,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2006-03-15,2012-04-30,6,73,2238,4.0,Technology,1.0,0,0.0,2.0645941666666667,7412969.0,0,3,2
48,49,0,2.0,1.0,40,Kyongnam,0.0,0.0,0.0,1,1.0,Yes,Christian,2006-03-20,//,13,160,4881,2.0,Design,1.0,0,0.0,0.3272527777777778,1266522.0,1,3,2
49,50,1,0.0,0.0,41,Metropolitan,3.0,0.0,0.0,0,1.0,No,No,2006-04-01,2009-11-10,3,43,1319,3.0,Financial_management,0.0,0,0.0,4.1147897222222225,15046129.0,0,1,1
53,54,1,1.0,0.0,40,Kyongnam,2.0,1.0,1.0,1,1.0,Yes,Buddism,2006-05-02,2016-02-29,9,117,3590,3.0,Business_Support,0.0,0,0.0,0.3241075,15780950.0,1,3,2
54,55,1,2.0,0.0,42,Metropolitan,2.0,0.0,0.0,1,1.0,No,No,2006-05-08,2015-05-31,9,108,3310,1.0,Sales,1.0,0,0.0,4.204811111111111,5521717.0,1,3,2
55,56,1,0.0,0.0,41,Kyongnam,0.0,0.0,0.0,1,1.0,No,No,2006-05-08,2011-11-21,5,66,2023,1.0,Production_Management,1.0,0,0.0,0.25455972222222223,834521.0,0,3,2
58,59,1,0.0,0.0,32,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2006-05-22,2010-02-20,3,44,1370,6.0,Sales,1.0,0,0.0,0.3198577777777778,1108713.0,0,1,1
59,60,1,4.0,0.0,36,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2006-06-19,2012-12-31,6,78,2387,3.0,Business_Support,0.0,0,2.0,0.39135194444444443,6001825.0,0,3,2
60,61,1,3.0,1.0,41,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2006-06-26,2016-09-22,10,122,3741,2.0,Purchasing,0.0,0,0.0,0.45880333333333334,1266522.0,1,3,2
61,62,1,0.0,0.0,34,Kyongnam,0.0,0.0,0.0,0,1.0,No,No,2006-06-27,2011-05-31,4,59,1799,4.0,Business_management,1.0,0,0.0,0.2838102777777778,913749.0,0,2,2
62,63,1,2.0,0.0,35,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2006-07-04,2013-08-13,7,85,2597,4.0,Production_support,0.0,0,0.0,0.49129972222222223,1266522.0,0,3,2
63,64,1,2.0,0.0,35,Kyongnam,0.0,2.0,1.0,1,1.0,No,No,2006-07-21,2016-02-12,9,114,3493,4.0,Production_support,0.0,0,0.0,0.35547083333333335,1189192.0,1,3,2
64,65,0,2.0,0.0,45,Kyongnam,3.0,1.0,1.0,1,1.0,No,No,2006-07-21,//,13,156,4758,1.0,Purchasing,0.0,0,0.0,0.3860297222222222,1151982.0,1,3,2
65,66,0,0.0,1.0,40,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2006-09-04,//,13,154,4713,3.0,Quality_Management,1.0,0,0.0,1.1060644444444445,3655576.0,1,3,2
