,id,retirement,courier_count,lang_count,age,child_count,club_count,club,gender,honey_YN,working_year,working_month,working_day,position_number,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
count,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
mean,703.9862068965517,0.0,1.7689655172413794,0.44482758620689655,38.858620689655176,1.1517241379310346,0.2827586206896552,0.20344827586206896,0.906896551724138,0.6931034482758621,7.255172413793104,87.67931034482758,2684.4275862068966,3.4482758620689653,0.6931034482758621,0.05517241379310345,0.06206896551724138,0.6714767940613032,4852044.535062069,0.3620689655172414,2.6551724137931036,1.8206896551724139
std,405.80474085250074,0.0,1.5866230266085914,0.738504149260599,6.657514797672726,0.9436074082677799,0.6571770210804365,0.4032590061425507,0.2910796446054567,0.46200333622932915,3.723634995891431,44.407642031558105,1351.541694320046,1.4667292166303492,0.4620033362293291,0.2287111577952328,0.3049916818917341,0.8826968008494372,4803552.094370303,0.48142938348491177,0.8350398150160104,0.508324686000793
min,7.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.12972861111111111,768879.0,0.0,0.0,0.0
25%,367.25,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,5.0,63.0,1937.25,3.0,0.0,0.0,0.0,0.28712,1265900.0,0.0,3.0,2.0
50%,690.5,0.0,2.0,0.0,38.0,1.0,0.0,0.0,1.0,1.0,7.0,83.0,2552.0,3.0,1.0,0.0,0.0,0.3680363888888889,3035223.0,0.0,3.0,2.0
75%,1020.0,0.0,3.0,1.0,42.0,2.0,0.0,0.0,1.0,1.0,9.0,108.0,3297.0,4.0,1.0,0.0,0.0,0.5925261805555555,5606920.00525,1.0,3.0,2.0
max,1401.0,0.0,10.0,4.0,59.0,3.0,5.0,1.0,1.0,1.0,22.0,266.0,8108.0,6.0,1.0,1.0,3.0,4.305178888888889,27668913.0,1.0,3.0,2.0
